# alias \t normalized name [TODO: \t category \t official link \t ...]
朱栾	朱栾
内紫	内紫
雷柚	雷柚
碌柚	碌柚
胡柑	胡柑
大柑	大柑
五爪红	五爪红
柠檬	柠檬
柠果	柠果
洋柠檬	洋柠檬
益母果	益母果
益母子	益母子
柿子	柿子
红嘟嘟	红嘟嘟
朱果	朱果
红柿	红柿
桂花	桂花
岩桂	岩桂
木犀	木犀
九里香	九里香
金粟	金粟
桃	桃
桑葚	桑葚
桑果	桑果
桑椹子	桑椹子
梅子	梅子
青梅	青梅
梨	梨
大鸭梨	大鸭梨
椰子	椰子
可可椰子	可可椰子
榕树	榕树
细叶榕	细叶榕
万年青	万年青
榕树须	榕树须
榴莲	榴莲
槟榔	槟榔
槟榔子	槟榔子
大腹子	大腹子
宾门	宾门
橄榄子	橄榄子
青仔	青仔
樱桃	樱桃
车厘子	车厘子
莺桃	莺桃
荆桃	荆桃
楔桃	楔桃
英桃	英桃
牛桃	牛桃
樱珠	樱珠
含桃	含桃
玛瑙	玛瑙
橄榄	橄榄
黄榄,青果,山榄,白榄,红榄,青子,谏果,忠果	黄榄,青果,山榄,白榄,红榄,青子,谏果,忠果
橘子	橘子
桔子	桔子
橙子	橙子
金环	金环
黄果	黄果
柑子	柑子
柳丁	柳丁
毛木耳	毛木耳
粗木耳	粗木耳
黄背木耳	黄背木耳
白背木耳	白背木耳
毛桃	毛桃
白桃	白桃
毛果子	毛果子
毛芋	毛芋
水仙	水仙
凌波仙子	凌波仙子
金盏银台	金盏银台
落神香妃	落神香妃
玉玲珑	玉玲珑
金银台	金银台
天蒜等	天蒜等
沙棘果	沙棘果
醋柳	醋柳
黑刺	黑刺
酸刺	酸刺
油桃	油桃
李光桃	李光桃
芸薹	芸薹
寒菜	寒菜
胡菜	胡菜
苦菜	苦菜
薹芥	薹芥
瓢儿菜	瓢儿菜
佛佛菜	佛佛菜
油麦菜	油麦菜
莜麦菜	莜麦菜
洋葱	洋葱
球葱	球葱
圆葱	圆葱
玉葱	玉葱
葱头	葱头
荷兰葱	荷兰葱
番葱	番葱
海带	海带
江白菜	江白菜
昆布	昆布
海棠花	海棠花
川红	川红
蜀客	蜀客
海苔	海苔
条斑紫菜	条斑紫菜
海鲜菇	海鲜菇
玉蕈	玉蕈
斑玉蕈	斑玉蕈
真姬菇	真姬菇
淮山	淮山
山药	山药
薯蓣	薯蓣
山芋	山芋
淮山药	淮山药
火炬	火炬
火鹤花	火鹤花
安祖花	安祖花
红鹤芋	红鹤芋
火鹤	火鹤
火鹤芋	火鹤芋
席氏花烛	席氏花烛
灯笼果	灯笼果
牛油果	牛油果
油梨	油梨
鳄梨	鳄梨
酪梨	酪梨
奶油果	奶油果
牛肝菌	牛肝菌
见手青	见手青
猕猴桃	猕猴桃
阳桃	阳桃
羊桃	羊桃
奇异果	奇异果
狐狸桃	狐狸桃
野梨	野梨
藤梨	藤梨
猴仔梨	猴仔梨
杨汤梨	杨汤梨
猪毛菜	猪毛菜
猫儿屎	猫儿屎
猫屎瓜	猫屎瓜
矮杞树	矮杞树
猫儿子	猫儿子
鬼指头	鬼指头
猫屎筒等	猫屎筒等
猴头菇	猴头菇
猴头菌	猴头菌
猴头蘑	猴头蘑
刺猬菌	刺猬菌
猬菌	猬菌
猴菇	猴菇
猴腿菜	猴腿菜
猴腿蹄盖蕨	猴腿蹄盖蕨
绿茎菜	绿茎菜
紫菜等	紫菜等
玉米	玉米
包谷	包谷
包芦	包芦
玉茭	玉茭
苞米	苞米
棒子	棒子
粟米	粟米
玉蜀黍	玉蜀黍
玉麦	玉麦
芦黍	芦黍
玫瑰	月季
月季	月季
甘蓝	甘蓝
甘蔗	甘蔗
薯蔗	薯蔗
糖蔗	糖蔗
黄皮果蔗	黄皮果蔗
甜椒	甜椒
香瓜	香瓜
白兰瓜	白兰瓜
华莱士瓜	华莱士瓜
生菜	生菜
叶用莴苣	叶用莴苣
鹅仔菜	鹅仔菜
莴仔菜	莴仔菜
唛仔菜	唛仔菜
番杏	番杏
法国菠菜	法国菠菜
新西兰菠菜	新西兰菠菜
番石榴	番石榴
芭乐	芭乐
鸡屎果	鸡屎果
拔子	拔子
喇叭番石榴	喇叭番石榴
番茄	番茄
蕃柿	蕃柿
西红柿	西红柿
洋柿子	洋柿子
番荔枝	番荔枝
赖球果	赖球果
佛头果	佛头果
释迦果	释迦果
百合	百合
强瞿	强瞿
番韭	番韭
山丹	山丹
倒仙	倒仙
睡莲	睡莲
子午莲	子午莲
粉色睡莲	粉色睡莲
野生睡莲	野生睡莲
矮睡莲	矮睡莲
侏儒睡莲	侏儒睡莲
石榴	石榴
安石榴	安石榴
山力叶	山力叶
丹若	丹若
若榴木	若榴木
金罂	金罂
金庞	金庞
涂林	涂林
天浆	天浆
石竹	石竹
洛阳花	洛阳花
中国石竹	中国石竹
中国沼竹	中国沼竹
石竹子花	石竹子花
石蒜	石蒜
龙爪花	龙爪花
蟑螂花	蟑螂花
砍瓜	砍瓜
神秘果	神秘果
变味果	变味果
凤尾菇	凤尾菇
秋海棠	秋海棠
秋花棠	秋花棠
海花	海花
秋葵	秋葵
金秋葵	金秋葵
黄秋葵	黄秋葵
羊角豆	羊角豆
咖啡黄葵	咖啡黄葵
毛茄	毛茄
黄蜀葵	黄蜀葵
洋辣椒	洋辣椒
空心菜	空心菜
瓮菜	瓮菜
蕹菜	蕹菜
竹叶菜	竹叶菜
通菜	通菜
藤菜	藤菜
节节菜	节节菜
通心菜	通心菜
竹荪	竹荪
长裙竹荪	长裙竹荪
竹参	竹参
面纱菌	面纱菌
网纱菌	网纱菌
竹姑娘	竹姑娘
僧笠蕈	僧笠蕈
雪裙仙子	雪裙仙子
米兰	米兰
树兰	树兰
紫罗兰	紫罗兰
草桂花	草桂花
四桃克	四桃克
草紫罗兰	草紫罗兰
紫薯	紫薯
黒薯	黒薯
苕薯	苕薯
红枣	红枣
红树莓	红树莓
覆盆子	覆盆子
绒毛悬钩子	绒毛悬钩子
树莓	树莓
欧洲糙莓	欧洲糙莓
欧洲红树莓	欧洲红树莓
木莓	木莓
红薯	红薯
红苕	红苕
甜薯	甜薯
白薯	白薯
番芋	番芋
番葛	番葛
金薯	金薯
地萝卜	地萝卜
地瓜	地瓜
绿萝	绿萝
魔鬼藤	魔鬼藤
黄金葛	黄金葛
黄金藤	黄金藤
桑叶	桑叶
羊奶果	羊奶果
牛虱子果	牛虱子果
羊山咪树	羊山咪树
羊奶头	羊奶头
胡萝卜	胡萝卜
红萝卜	红萝卜
甘荀	甘荀
脚扳薯	脚扳薯
腌菜	腌菜
芋头	芋头
青芋	青芋
芋艿	芋艿
毛芋头	毛芋头
芍药	芍药
将离	将离
离草	离草
婪尾春	婪尾春
余容	余容
犁食	犁食
没骨花	没骨花
黑牵夷	黑牵夷
红药等	红药等
芒果	芒果
马蒙	马蒙
抹猛果	抹猛果
莽果	莽果
望果	望果
蜜望	蜜望
蜜望子	蜜望子
芥蓝	芥蓝
白花芥蓝	白花芥蓝
绿叶甘蓝	绿叶甘蓝
芥兰	芥兰
芥蓝菜	芥蓝菜
盖菜	盖菜
芦笋	芦笋
南荻笋	南荻笋
荻笋	荻笋
露笋	露笋
芭蕉	芭蕉
芭苴	芭苴
板焦	板焦
板蕉	板蕉
大芭蕉头	大芭蕉头
大头芭蕉	大头芭蕉
花椒	花椒
檓	檓
大椒	大椒
秦椒	秦椒
蜀椒	蜀椒
花椰菜	花椰菜
花菜	花菜
菜花	菜花
椰菜花	椰菜花
芹菜	芹菜
胡芹	胡芹
芽菜	芽菜
苦瓜	苦瓜
癞葡萄	癞葡萄
凉瓜	凉瓜
苦苣	苦苣
栽培菊苣	栽培菊苣
明目菜	明目菜
苦细叶生菜	苦细叶生菜
苹果	苹果
平安果	平安果
智慧果	智慧果
平波	平波
超凡子	超凡子
天然子	天然子
苹婆	苹婆
滔婆	滔婆
茄	茄
矮瓜	矮瓜
白茄	白茄
吊菜子	吊菜子
落苏	落苏
茄子	茄子
紫茄	紫茄
茉莉花	茉莉花
茉莉	茉莉
香魂	香魂
莫利花	莫利花
没丽	没丽
没利	没利
抹厉	抹厉
末莉	末莉
末利	末利
木梨花	木梨花
茭白	茭白
茭瓜	茭瓜
茭笋	茭笋
菰手	菰手
雕胡	雕胡
高瓜	高瓜
菰瓜	菰瓜
高笋	高笋
篙芭	篙芭
水笋	水笋
茶树菇	茶树菇
杨树菇	杨树菇
茶薪菇	茶薪菇
柱状环锈伞	柱状环锈伞
柳松菇	柳松菇
等	等
茶花	茶花
山茶花	山茶花
茼蒿	茼蒿
同蒿	同蒿
蓬蒿	蓬蒿
蒿菜	蒿菜
菊花菜	菊花菜
塘蒿	塘蒿
蒿子杆	蒿子杆
蒿子	蒿子
蓬花菜	蓬花菜
皇帝菜	皇帝菜
草莓	草莓
凤梨草莓	凤梨草莓
草菇	草菇
美味草菇	美味草菇
美味苞脚菇	美味苞脚菇
兰花菇	兰花菇
秆菇	秆菇
麻菇	麻菇
中国菇及小包脚菇	中国菇及小包脚菇
荔枝	荔枝
荔浦芋头	荔浦芋头
荠	荠
荠菜	荠菜
菱角菜	菱角菜
荷兰豆	荷兰豆
荷仁豆	荷仁豆
剪豆	剪豆
刀刀豆	刀刀豆
荷花	荷花
莲花	莲花
水芙蓉	水芙蓉
藕花	藕花
芙蕖	芙蕖
水芝	水芝
水华	水华
泽芝	泽芝
中国莲	中国莲
荸荠	荸荠
马蹄	马蹄
水栗	水栗
芍	芍
凫茈	凫茈
乌芋	乌芋
菩荠	菩荠
地栗	地栗
马蹄儿	马蹄儿
钱葱	钱葱
土栗	土栗
莲藕	莲藕
蔤	蔤
蓉玉节	蓉玉节
玉笋	玉笋
玉臂龙	玉臂龙
玉藕	玉藕
光旁	光旁
雨草	雨草
玲珑腕	玲珑腕
莴苣	莴苣
千金菜	千金菜
莴笋	莴笋
石苣	石苣
青笋	青笋
菜心	菜心
笋菜	笋菜
青莴笋	青莴笋
莽吉柿	莽吉柿
山竹	山竹
山竺	山竺
山竹子	山竹子
倒捻子	倒捻子
菊花	菊花
寿客	寿客
金英	金英
黄华	黄华
秋菊	秋菊
陶菊	陶菊
日精	日精
女华	女华
延年	延年
隐逸花	隐逸花
菜苔	菜苔
菠菜	菠菜
波斯菜	波斯菜
菠薐	菠薐
菠柃	菠柃
鹦鹉菜	鹦鹉菜
红根菜	红根菜
飞龙菜	飞龙菜
菠萝蜜	菠萝蜜
波罗蜜	波罗蜜
苞萝	苞萝
木菠萝	木菠萝
树菠萝	树菠萝
大树菠萝	大树菠萝
蜜冬瓜	蜜冬瓜
牛肚子果	牛肚子果
萝卜	萝卜
莱菔	莱菔
葛根	葛根
葛条	葛条
甘葛	甘葛
葛藤	葛藤
葡萄	葡萄
蒲陶	蒲陶
草龙珠	草龙珠
赐紫樱桃	赐紫樱桃
菩提子	菩提子
山葫芦	山葫芦
葱	葱
蒜苗	蒜苗
蒜薹	蒜薹
青蒜	青蒜
蒜苔	蒜苔
蓝莓	蓝莓
蓝梅	蓝梅
笃斯	笃斯
笃柿	笃柿
嘟嗜	嘟嗜
都柿	都柿
甸果	甸果
笃斯越桔	笃斯越桔
蘑菇	蘑菇
大型真菌	大型真菌
虞美人	虞美人
丽春花	丽春花
赛牡丹	赛牡丹
满园春	满园春
仙女蒿	仙女蒿
虞美人草	虞美人草
舞草	舞草
蚕豆	蚕豆
南豆	南豆
胡豆	胡豆
竖豆	竖豆
佛豆	佛豆
蝴蝶兰	蝴蝶兰
蝶兰	蝶兰
台湾蝴蝶兰	台湾蝴蝶兰
西兰花	西兰花
绿花菜	绿花菜
绿菜花	绿菜花
青花菜	青花菜
绿花椰菜或美国花菜	绿花椰菜或美国花菜
西瓜	西瓜
夏瓜	夏瓜
寒瓜	寒瓜
青门绿玉房	青门绿玉房
西番莲	西番莲
受难果	受难果
巴西果	巴西果
藤桃	藤桃
热情果	热情果
转心莲	转心莲
转枝莲	转枝莲
西葫芦	西葫芦
西葫	西葫
番瓜美洲南瓜	番瓜美洲南瓜
小瓜	小瓜
荨瓜	荨瓜
熏瓜	熏瓜
豇豆	豇豆
角豆	角豆
姜豆	姜豆
带豆	带豆
豌豆	豌豆
青豆	青豆
麦豌豆	麦豌豆
寒豆	寒豆
麦豆	麦豆
雪豆	雪豆
毕豆	毕豆
麻累等	麻累等
贡菜	贡菜
苔干	苔干
响菜	响菜
山蜇	山蜇
苔菜	苔菜
辣椒	辣椒
辣子	辣子
辣角	辣角
牛角椒	牛角椒
红海椒	红海椒
朝天椒	朝天椒
迎春花	迎春花
小黄花	小黄花
金腰带	金腰带
黄梅	黄梅
清明花	清明花
郁金香	郁金香
洋荷花	洋荷花
草麝香	草麝香
郁香	郁香
荷兰花	荷兰花
酸浆	酸浆
红姑娘	红姑娘
挂金灯	挂金灯
金灯	金灯
锦灯笼	锦灯笼
泡泡草	泡泡草
野香蕉	野香蕉
八月瓜	八月瓜
八月炸	八月炸
